Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,RPE
2023-01-16 16:46:08,"Upper Body Day",57m,"Seated Chess Press",1,40.0,13.0,0,0.0,
2023-01-16 16:46:08,"Upper Body Day",57m,"Seated Chess Press",2,80.0,8.0,0,0.0,
2023-01-16 16:46:08,"Upper Body Day",57m,"Seated Chess Press",3,60.0,9.0,0,0.0,
2023-01-16 16:46:08,"Upper Body Day",57m,"Bent Over One Arm Row (Dumbbell)",1,25.0,12.0,0,0.0,
2023-01-16 16:46:08,"Upper Body Day",57m,"Bent Over One Arm Row (Dumbbell)",2,35.0,12.0,0,0.0,
2023-01-16 16:46:08,"Upper Body Day",57m,"Bent Over One Arm Row (Dumbbell)",3,40.0,10.0,0,0.0,
2023-01-16 16:46:08,"Upper Body Day",57m,"Shoulder Press (Machine)",1,30.0,8.0,0,0.0,
2023-01-16 16:46:08,"Upper Body Day",57m,"Shoulder Press (Machine)",2,25.0,8.0,0,0.0,
2023-01-16 16:46:08,"Upper Body Day",57m,"Shoulder Press (Machine)",3,20.0,12.0,0,0.0,
2023-01-16 16:46:08,"Upper Body Day",57m,"Lat Pulldown (Cable)",1,60.0,12.0,0,0.0,
2023-01-16 16:46:08,"Upper Body Day",57m,"Lat Pulldown (Cable)",2,100.0,12.0,0,0.0,
2023-01-16 16:46:08,"Upper Body Day",57m,"Lat Pulldown (Cable)",3,148.0,4.0,0,0.0,
2023-01-16 16:46:08,"Upper Body Day",57m,"Chest Fly",1,25.0,10.0,0,0.0,
2023-01-16 16:46:08,"Upper Body Day",57m,"Chest Fly",2,30.0,10.0,0,0.0,
2023-01-16 16:46:08,"Upper Body Day",57m,"Chest Fly",3,35.0,10.0,0,0.0,
2023-01-16 16:46:08,"Upper Body Day",57m,"Lateral Raise (Dumbbell)",1,17.5,7.0,0,0.0,
2023-01-16 16:46:08,"Upper Body Day",57m,"Lateral Raise (Dumbbell)",2,17.5,7.0,0,0.0,
2023-01-16 16:46:08,"Upper Body Day",57m,"Concentration Curl (Dumbbell)",1,20.0,12.0,0,0.0,
2023-01-16 16:46:08,"Upper Body Day",57m,"Concentration Curl (Dumbbell)",2,30.0,13.0,0,0.0,
2023-01-16 16:46:08,"Upper Body Day",57m,"Triceps Pushdown (Cable - Straight Bar)",1,15.0,12.0,0,0.0,
2023-01-16 16:46:08,"Upper Body Day",57m,"Triceps Pushdown (Cable - Straight Bar)",2,15.0,12.0,0,0.0,
2023-01-17 13:48:58,"Lower Body Day",1h 18m,"Front Squat (Barbell)",1,45.0,7.0,0,0.0,
2023-01-17 13:48:58,"Lower Body Day",1h 18m,"Front Squat (Barbell)",2,95.0,6.0,0,0.0,
2023-01-17 13:48:58,"Lower Body Day",1h 18m,"Front Squat (Barbell)",3,135.0,3.0,0,0.0,
2023-01-17 13:48:58,"Lower Body Day",1h 18m,"Romanian Deadlift (Dumbbell)",1,32.5,8.0,0,0.0,
2023-01-17 13:48:58,"Lower Body Day",1h 18m,"Romanian Deadlift (Dumbbell)",2,32.5,8.0,0,0.0,
